Occupation,Number of workers (Total),Median weekly earnings (Total),Number of workers (Men),Median weekly earnings (Men),Number of workers (Women),Median weekly earnings (Women)
Sales representatives wholesale and manufacturing,1121,1047,819,1140,302,872
Real estate brokers and sales agents,493,983,209,1222,284,780
Sales and related workers all other,171,805,103,946,68,709
First-line supervisors of office and administrative support workers,1203,848,383,942,819,809
Bookkeeping accounting and auditing clerks,756,722,115,790,641,716
Customer service representatives,1850,640,664,676,1185,623
Receptionists and information clerks,951,583,103,600,848,581
Dispatchers,279,704,126,734,153,671
Postal service clerks,111,901,58,999,53,805
Postal service mail carriers,304,981,185,1020,119,931
Production planning and expediting clerks,224,853,113,935,111,765
Shipping receiving and traffic clerks,473,596,322,602,151,583
Stock clerks and order fillers,1014,530,643,533,371,526
Secretaries and administrative assistants,2210,713,133,831,2078,708
Data entry keyers,221,638,51,655,170,630
Office clerks general,900,654,140,707,760,648
Office and administrative support workers all other,457,768,107,855,351,751
Miscellaneous agricultural workers,659,508,547,524,111,423
First-line supervisors of production and operating workers,729,923,599,972,131,723
Electrical electronics and electromechanical assemblers,105,590,55,618,50,554
Miscellaneous assemblers and fabricators,990,601,645,625,345,559
Bakers,138,494,55,562,83,480
Butchers and other meat poultry and fish processing workers,244,526,183,571,61,449
Laundry and dry-cleaning workers,135,454,55,486,80,436
Sewing machine operators,165,437,52,407,114,452
Inspectors testers sorters samplers and weighers,686,714,445,834,241,584
Packaging and filling machine operators and tenders,224,488,112,574,113,425
Production workers all other,887,622,641,690,246,515
Bus drivers,343,641,197,691,146,589
Driver/sales workers and truck drivers,2809,780,2689,787,120,630
Industrial truck and tractor operators,564,602,510,604,54,563
Laborers and freight stock and material movers hand,1417,566,1196,580,221,509
Packers and packagers hand,383,456,166,468,216,437
